2010,73,true,true
2025,37,true,true
2019,33,true,true
2013,31,true,true
2015,25,true,true
2004,38,true,true
2022,38,true,true
2013,27,true,true
2013,20,true,true
2013,19,true,true
2019,22,true,true
2025,19,true,true
2004,20,true,true
2022,23,true,true
2016,22,true,true
2013,22,true,true
2016,36,true,true
2013,31,true,true
2021,29,true,true
2016,31,true,true
2025,29,true,true
2019,29,true,true
2019,26,true,true
2004,22,true,true
2022,19,true,true
2025,22,true,true
2016,31,true,true
2004,26,true,true
2006,31,true,true
2007,27,true,true
2025,28,true,true
2013,23,true,true
2025,31,true,true
2022,21,true,true
2025,36,true,true
2010,25,true,true
2010,23,true,true
2012,19,true,true
2007,21,true,true
2010,30,true,true
2004,31,true,true
2016,18,true,true
2022,19,true,true
2025,35,true,true
2022,29,true,true
2007,22,true,true
2022,22,true,true
2012,17,true,true
2013,21,true,true
2016,19,true,true
2007,33,true,true
2019,20,true,true
2016,22,true,true
2007,30,true,true
2022,17,true,true
2022,20,true,true
2004,33,true,true
2016,18,true,true
2022,21,true,true
2010,28,true,true
2004,21,true,true
2013,20,true,true
2025,22,true,true
2006,20,true,true
2025,18,true,true
2016,21,true,true
2022,25,true,true
2004,20,true,true
2013,33,true,true
2025,25,true,true
2018,20,true,true
2010,24,true,true
2013,20,true,true
2013,27,true,true
2013,29,true,true
2007,26,true,true
2007,28,true,true
2019,20,true,true
2019,23,true,true
2010,22,true,true
2019,17,true,true
2022,28,true,true
2016,19,true,true
2004,32,true,true
2004,40,true,true
2022,33,true,true
2013,34,true,true
2022,27,true,true
2010,19,true,true
2013,31,true,true
2022,17,true,true
2016,19,true,true
2010,30,true,true
2019,26,true,true
2004,21,true,true
2004,20,true,true
2012,27,true,true
2016,32,true,true
2010,18,true,true
2016,28,true,true
2010,73,true,true
2025,37,true,true
2019,33,true,true
2013,31,true,true
2015,25,true,true
2004,38,true,true
2022,38,true,true
2013,27,true,true
2013,20,true,true
2013,19,true,true
2019,22,true,true
2025,19,true,true
2004,20,true,true
2022,23,true,true
2016,22,true,true
2013,22,true,true
2016,36,true,true
2013,31,true,true
2021,29,true,true
2016,31,true,true
2025,29,true,true
2019,29,true,true
2019,26,true,true
2004,22,true,true
2022,19,true,true
2025,22,true,true
2016,31,true,true
2004,26,true,true
2006,31,true,true
2007,27,true,true
2025,28,true,true
2013,23,true,true
2025,31,true,true
2022,21,true,true
2025,36,true,true
2010,25,true,true
2010,23,true,true
2012,19,true,true
2007,21,true,true
2010,30,true,true
2004,31,true,true
2016,18,true,true
2022,19,true,true
2025,35,true,true
2022,29,true,true
2007,22,true,true
2022,22,true,true
2012,17,true,true
2013,21,true,true
2016,19,true,true
2007,33,true,true
2019,20,true,true
2016,22,true,true
2007,30,true,true
2022,17,true,true
2022,20,true,true
2004,33,true,true
2016,18,true,true
2022,21,true,true
2010,28,true,true
2004,21,true,true
2013,20,true,true
2025,22,true,true
2006,20,true,true
2025,18,true,true
2016,21,true,true
2022,25,true,true
2004,20,true,true
2013,33,true,true
2025,25,true,true
2018,20,true,true
2010,24,true,true
2013,20,true,true
2013,27,true,true
2013,29,true,true
2007,26,true,true
2007,28,true,true
2019,20,true,true
2019,23,true,true
2010,22,true,true
2019,17,true,true
2022,28,true,true
2016,19,true,true
2004,32,true,true
2004,40,true,true
2022,33,true,true
2013,34,true,true
2022,27,true,true
2010,19,true,true
2013,31,true,true
2022,17,true,true
2016,19,true,true
2010,30,true,true
2019,26,true,true
2004,21,true,true
2004,20,true,true
2012,27,true,true
2016,32,true,true
2010,18,true,true
2016,28,true,true
